,city,latitude,longitude,weather,max_temp,humidity,windspeed,cloudiness,country,date
118,najran,17.4924,44.1277,81.25,81.25,34,4.25,69,SA,1660623848
119,alekseyevsk,57.8406,108.3492,55.98,55.98,77,10.65,99,RU,1660623848
120,mananjary,-21.2167,48.3333,66.09,66.09,88,7.52,24,MG,1660623849
121,port elizabeth,-33.918,25.5701,44.89,44.89,87,3.44,0,ZA,1660623849
122,mar del plata,-38.0023,-57.5575,44.01,44.1,70,12.66,0,AR,1660623849
123,lebu,-37.6167,-73.65,52.43,52.43,98,20.62,100,CL,1660623850
124,osmena,10.5208,119.9258,83.5,83.5,72,6.22,100,PH,1660623850
125,fortuna,40.5982,-124.1573,59.41,60.35,87,1.99,37,US,1660623850
126,qeshm,26.9581,56.2719,93.07,93.07,79,19.37,54,IR,1660623850
127,hami,42.8,93.45,95.11,95.11,11,9.71,100,CN,1660623851
128,te anau,-45.4167,167.7167,57.9,57.9,69,1.92,31,NZ,1660623851
129,yulara,-25.2406,130.9889,70.99,70.99,17,9.33,0,AU,1660623851
130,grand gaube,-20.0064,57.6608,73.38,73.38,64,8.99,73,MU,1660623852
131,doha,25.2867,51.5333,96.03,96.78,57,6.91,0,QA,1660623629
132,tuatapere,-46.1333,167.6833,60.01,60.01,68,2.33,51,NZ,1660623852
133,matara,5.9485,80.5353,83.01,83.01,71,9.48,93,LK,1660623852
134,goderich,43.7501,-81.7165,64.72,66.9,63,6.91,82,CA,1660623853
135,leshukonskoye,64.8989,45.7622,56.07,56.07,67,3.06,99,RU,1660623853
136,baykit,61.67,96.37,57.13,57.13,82,0.54,100,RU,1660623853
137,balabac,7.9868,117.0645,86.5,86.5,66,9.73,68,PH,1660623853
138,rabo de peixe,37.8,-25.5833,70.29,70.29,84,5.75,75,PT,1660623854
139,nelson bay,-32.7167,152.15,62.22,63.09,56,7.0,46,AU,1660623854
140,srednekolymsk,67.45,153.6833,63.97,63.97,40,14.61,84,RU,1660623854
141,amahai,-3.3333,128.9167,78.24,78.24,85,4.12,100,ID,1660623855
142,tete,-16.1564,33.5867,73.49,73.49,64,11.5,20,MZ,1660623855
143,lasa,46.6166,10.7002,59.88,59.88,89,1.59,20,IT,1660623855
144,longyearbyen,78.2186,15.6401,44.44,44.44,76,12.66,0,SJ,1660623855
145,ostrovnoy,68.0531,39.5131,54.81,54.81,73,13.71,100,RU,1660623671
146,sorland,67.667,12.6934,57.06,57.06,93,9.66,100,NO,1660623856
147,ribeira grande,38.5167,-28.7,72.81,72.81,74,17.92,70,PT,1660623856
148,barberino di mugello,44.0027,11.2371,62.96,68.58,83,2.89,10,IT,1660623856
149,wagar,16.1525,36.2032,79.27,79.27,77,14.41,100,SD,1660623857
150,butaritari,3.0707,172.7902,81.82,81.82,74,11.95,93,KI,1660623857
151,tual,-5.6667,132.75,79.38,79.38,79,20.47,57,ID,1660623588
152,saldanha,-33.0117,17.9442,41.05,41.05,76,4.59,99,ZA,1660623857
153,beloha,-25.1667,45.05,66.96,66.96,60,8.37,100,MG,1660623858
154,ontario,34.0633,-117.6509,79.12,89.87,51,10.36,20,US,1660623858
155,sibolga,1.7427,98.7792,85.01,85.01,63,4.0,100,ID,1660623858
156,benguela,-12.5763,13.4055,66.83,66.83,85,7.16,37,AO,1660623632
157,kungurtug,50.5994,97.5228,51.06,51.06,78,1.45,100,RU,1660623859
158,barrow,71.2906,-156.7887,35.62,35.62,93,17.27,100,US,1660623859
159,atuona,-9.8,-139.0333,77.22,77.22,77,18.03,14,PF,1660623859
160,vadastrita,43.85,24.3333,66.43,66.43,72,5.82,3,RO,1660623860
161,fukue,32.6881,128.8419,86.36,86.36,89,13.8,75,JP,1660623860
162,anuchino,43.9622,133.0544,72.86,72.86,76,7.67,92,RU,1660623860
163,meulaboh,4.1363,96.1285,84.92,84.92,64,3.15,100,ID,1660623600
164,akhisar,38.9185,27.8401,62.31,70.57,88,0.0,0,TR,1660623860
165,oum hadjer,13.2954,19.6966,73.24,73.24,88,7.99,100,TD,1660623861
166,ravar,31.2656,56.8055,85.28,85.28,10,4.92,0,IR,1660623861
167,aguimes,27.9054,-15.4461,72.03,72.23,64,24.16,20,ES,1660623861
168,ugoofaaru,5.6667,73.0,80.24,80.24,78,6.24,100,MV,1660623573
169,port moresby,-9.4431,147.1797,85.42,85.42,66,17.27,40,PG,1660623625
170,havelock,34.8791,-76.9013,71.4,73.4,91,3.44,20,US,1660623862
